# This file will store silhouette scores for clustering results
# Columns: approach,type,label,score
Basic,PCA,all,-0.169
Basic,PCA,banana,0.081
Basic,PCA,beans,-0.009
Basic,PCA,ball,-0.053
Basic,PCA,pringles,-0.049
Basic,PCA,hammer,0.007
Basic,t-SNE,all,-0.126
Basic,t-SNE,banana,0.122
Basic,t-SNE,beans,0.052
Basic,t-SNE,ball,-0.044
Basic,t-SNE,pringles,-0.019
Basic,t-SNE,hammer,-0.000
Basic,UMAP,all,-0.146
Basic,UMAP,banana,0.117
Basic,UMAP,beans,-0.001
Basic,UMAP,ball,-0.056
Basic,UMAP,pringles,-0.051
Basic,UMAP,hammer,-0.009
ML,PCA,all,-0.169
ML,PCA,banana,0.081
ML,PCA,beans,-0.009
ML,PCA,ball,-0.053
ML,PCA,pringles,-0.049
ML,PCA,hammer,0.007
ML,t-SNE,all,-0.126
ML,t-SNE,banana,0.122
ML,t-SNE,beans,0.052
ML,t-SNE,ball,-0.044
ML,t-SNE,pringles,-0.019
ML,t-SNE,hammer,-0.000
ML,UMAP,all,-0.146
ML,UMAP,banana,0.117
ML,UMAP,beans,-0.001
ML,UMAP,ball,-0.056
ML,UMAP,pringles,-0.051
ML,UMAP,hammer,-0.009
